"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","16-Dec-2016","        229.70","        230.80","        230.80","        226.00","        226.50","        226.35","        226.83","   12925203","          2931874829.75","      73060","   10288729","         79.60"
"ITC","EQ","19-Dec-2016","        226.35","        225.35","        229.00","        225.35","        227.10","        227.00","        227.35","    5455325","          1240289004.05","      53348","    4209698","         77.17"
"ITC","EQ","20-Dec-2016","        227.00","        228.50","        230.80","        227.50","        229.95","        229.95","        229.84","    5917510","          1360064590.80","      66538","    4306162","         72.77"
"ITC","EQ","21-Dec-2016","        229.95","        229.00","        229.80","        225.50","        226.20","        226.30","        226.57","   12883058","          2918928807.85","      63563","    9721174","         75.46"
"ITC","EQ","22-Dec-2016","        226.30","        225.25","        228.40","        224.25","        227.70","        227.55","        226.88","    6420828","          1456730051.05","      79127","    4765930","         74.23"
"ITC","EQ","23-Dec-2016","        227.55","        227.50","        227.50","        223.80","        224.90","        224.70","        225.08","   10763084","          2422555778.50","     106903","    8691484","         80.75"
"ITC","EQ","26-Dec-2016","        224.70","        224.90","        225.85","        222.00","        225.40","        225.00","        224.41","    8735299","          1960280819.20","     106763","    6904661","         79.04"
"ITC","EQ","27-Dec-2016","        225.00","        226.00","        234.90","        224.35","        234.50","        234.05","        230.24","   15605810","          3593046638.00","     115317","   10937386","         70.09"
"ITC","EQ","28-Dec-2016","        234.05","        232.70","        236.40","        232.70","        236.00","        235.45","        235.04","   14166131","          3329643222.80","     126115","   10241133","         72.29"
"ITC","EQ","29-Dec-2016","        235.45","        235.30","        237.00","        232.30","        236.50","        236.00","        234.37","   14052730","          3293604474.55","      95155","   10416245","         74.12"
"ITC","EQ","30-Dec-2016","        236.00","        237.45","        242.40","        236.30","        240.80","        241.65","        241.16","   10420088","          2512874221.20","      69335","    7883992","         75.66"
"ITC","EQ","02-Jan-2017","        241.65","        242.00","        242.25","        238.60","        239.95","        240.95","        240.49","    4887504","          1175415482.65","      43776","    3144444","         64.34"
"ITC","EQ","03-Jan-2017","        240.95","        240.90","        245.70","        239.25","        242.85","        243.35","        243.84","    7508925","          1830954935.00","      74562","    5021123","         66.87"
"ITC","EQ","04-Jan-2017","        243.35","        242.85","        247.00","        240.10","        246.50","        245.45","        243.53","    9310104","          2267311648.60","     125175","    7349301","         78.94"
"ITC","EQ","05-Jan-2017","        245.45","        244.50","        247.85","        244.10","        246.50","        246.75","        246.13","    9178665","          2259171130.85","      92634","    6207277","         67.63"
"ITC","EQ","06-Jan-2017","        246.75","        247.00","        249.00","        242.20","        242.50","        242.70","        244.39","    8093288","          1977887557.70","      87354","    5866716","         72.49"
"ITC","EQ","09-Jan-2017","        242.70","        242.85","        246.60","        242.10","        245.30","        245.85","        245.09","    4854672","          1189849569.75","      59911","    3557960","         73.29"
"ITC","EQ","10-Jan-2017","        245.85","        246.00","        249.85","        245.70","        248.05","        248.95","        248.05","   11977335","          2971006003.75","      88441","    9809170","         81.90"
"ITC","EQ","11-Jan-2017","        248.95","        249.80","        250.50","        246.60","        247.00","        247.55","        248.98","    7637281","          1901520378.50","      66209","    5931998","         77.67"
"ITC","EQ","12-Jan-2017","        247.55","        247.70","        247.70","        244.15","        244.75","        244.65","        245.20","    5601066","          1373368637.65","      45791","    4294002","         76.66"
"ITC","EQ","13-Jan-2017","        244.65","        246.00","        251.00","        242.50","        250.10","        249.65","        247.61","    4384819","          1085741425.40","      50376","    2690082","         61.35"
"ITC","EQ","16-Jan-2017","        249.65","        249.25","        250.85","        247.10","        249.50","        248.80","        248.34","    4635410","          1151148009.80","      57246","    3095748","         66.78"
"ITC","EQ","17-Jan-2017","        248.80","        248.80","        252.30","        248.80","        251.35","        251.95","        251.03","    4811618","          1207847044.85","      37044","    3195832","         66.42"
"ITC","EQ","18-Jan-2017","        251.95","        251.60","        254.30","        249.80","        251.20","        250.85","        252.02","    7254738","          1828341418.10","      64995","    5561067","         76.65"
"ITC","EQ","19-Jan-2017","        250.85","        249.75","        254.75","        249.55","        254.40","        254.15","        253.33","    9184429","          2326729397.60","      62342","    7048260","         76.74"
"ITC","EQ","20-Jan-2017","        254.15","        254.25","        256.30","        253.70","        255.20","        255.40","        255.23","   10843902","          2767729040.95","      64470","    8280798","         76.36"
"ITC","EQ","23-Jan-2017","        255.40","        255.10","        260.15","        255.05","        259.65","        259.65","        258.79","   10690194","          2766509304.85","      80734","    8369512","         78.29"
"ITC","EQ","24-Jan-2017","        259.65","        259.60","        260.75","        257.35","        260.20","        259.85","        259.40","    8031785","          2083480500.75","      69173","    6386751","         79.52"
"ITC","EQ","25-Jan-2017","        259.85","        259.95","        266.40","        259.60","        265.55","        265.50","        263.60","   17451497","          4600278186.40","      88253","   14738499","         84.45"
"ITC","EQ","27-Jan-2017","        265.50","        263.50","        266.95","        256.10","        257.50","        257.40","        261.89","   24497031","          6415422937.80","     157490","   13431789","         54.83"
"ITC","EQ","30-Jan-2017","        257.40","        258.40","        261.00","        255.50","        256.10","        256.10","        257.56","    8910592","          2294998074.45","      72524","    6499175","         72.94"
"ITC","EQ","31-Jan-2017","        256.10","        256.20","        259.95","        254.60","        258.20","        258.10","        258.04","    9995686","          2579278580.40","      66752","    7277657","         72.81"
"ITC","EQ","01-Feb-2017","        258.10","        260.00","        270.10","        258.50","        269.50","        269.70","        265.43","   33840797","          8982354541.90","     161356","   20677149","         61.10"
"ITC","EQ","02-Feb-2017","        269.70","        271.00","        279.90","        269.50","        273.60","        274.30","        274.97","   29722686","          8172841930.60","     156253","   19229020","         64.69"
"ITC","EQ","03-Feb-2017","        274.30","        274.00","        275.50","        270.50","        273.60","        273.05","        272.84","    9009906","          2458247193.20","      62367","    6425154","         71.31"
"ITC","EQ","06-Feb-2017","        273.05","        274.90","        279.00","        274.10","        276.75","        276.80","        276.86","    8221552","          2276216384.00","      86005","    5537095","         67.35"
"ITC","BL","07-Feb-2017","        343.80","        275.85","        275.85","        275.85","        275.85","        275.85","        275.85","  242522289","         66899773420.65","          3","  242522289","        100.00"
"ITC","EQ","07-Feb-2017","        276.80","        278.60","        292.15","        275.60","        276.95","        277.10","        281.87","   24315156","          6853618514.60","     142771","    9648411","         39.68"
"ITC","EQ","08-Feb-2017","        277.10","        275.50","        279.00","        272.00","        274.30","        274.80","        274.36","   10702679","          2936408027.05","      78858","    6035019","         56.39"
"ITC","EQ","09-Feb-2017","        274.80","        276.00","        278.40","        272.65","        278.00","        277.65","        275.35","    4882374","          1344360889.00","      61339","    2831732","         58.00"
"ITC","EQ","10-Feb-2017","        277.65","        278.70","        279.10","        271.55","        274.00","        273.35","        273.82","    7680000","          2102918997.10","      55892","    5672381","         73.86"
"ITC","EQ","13-Feb-2017","        273.35","        275.40","        276.35","        268.60","        270.05","        270.60","        271.12","    8967548","          2431287952.20","      73073","    6214914","         69.30"
"ITC","EQ","14-Feb-2017","        270.60","        270.00","        273.50","        269.15","        271.55","        270.80","        270.50","    6655626","          1800316506.70","      42764","    4959866","         74.52"
"ITC","EQ","15-Feb-2017","        270.80","        271.20","        275.50","        271.20","        274.10","        273.40","        273.07","    7537315","          2058187153.05","     102853","    5719025","         75.88"
"ITC","EQ","16-Feb-2017","        273.40","        270.05","        271.50","        265.70","        266.30","        266.65","        268.76","   10575410","          2842198744.20","      94805","    7959569","         75.26"
"ITC","EQ","17-Feb-2017","        266.65","        267.35","        268.90","        264.00","        267.80","        268.15","        267.07","    9341064","          2494743279.45","      97979","    6104534","         65.35"
"ITC","EQ","20-Feb-2017","        268.15","        266.00","        267.45","        265.55","        266.15","        266.05","        266.25","    5714329","          1521442087.30","      29287","    4490661","         78.59"
"ITC","EQ","21-Feb-2017","        266.05","        266.00","        266.25","        260.80","        262.90","        263.15","        262.56","    9871075","          2591766461.85","     105074","    7411382","         75.08"
"ITC","EQ","22-Feb-2017","        263.15","        264.40","        266.25","        261.65","        264.00","        263.45","        263.78","    8488101","          2239025986.70","      62914","    5176192","         60.98"
"ITC","EQ","23-Feb-2017","        263.45","        264.00","        268.20","        261.60","        266.55","        265.65","        265.03","   12361234","          3276081194.85","      63838","    8654703","         70.01"
"ITC","EQ","27-Feb-2017","        265.65","        265.55","        266.00","        257.85","        265.00","        264.60","        263.50","    5075088","          1337306775.75","      50354","    2822345","         55.61"
